Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,ORYGINALNY,raw,RF,0,1,101,0.9304
zapalenia,ORYGINALNY,raw,RF,0,2,202,0.9366
zapalenia,ORYGINALNY,raw,NB,0,1,101,0.8438
zapalenia,ORYGINALNY,raw,NB,0,2,202,0.8455
zapalenia,ORYGINALNY,raw,XGBoost,0,1,101,0.936
zapalenia,ORYGINALNY,raw,XGBoost,0,2,202,0.949
zapalenia,20%,raw,RF,1,1,101,0.8417
zapalenia,20%,raw,RF,1,2,202,0.8458
zapalenia,20%,raw,NB,1,1,101,0.5685
zapalenia,20%,raw,NB,1,2,202,0.5745
zapalenia,20%,raw,XGBoost,1,1,101,0.8745
zapalenia,20%,raw,XGBoost,1,2,202,0.8703
zapalenia,20%,fill,RF,1,1,101,0.8858
zapalenia,20%,fill,RF,1,2,202,0.8983
zapalenia,20%,fill,NB,1,1,101,0.6797
zapalenia,20%,fill,NB,1,2,202,0.6961
zapalenia,20%,fill,XGBoost,1,1,101,0.9047
zapalenia,20%,fill,XGBoost,1,2,202,0.8739
zapalenia,20%,remove_fill,RF,1,1,101,0.9016
zapalenia,20%,remove_fill,RF,1,2,202,0.8987
zapalenia,20%,remove_fill,NB,1,1,101,0.7058
zapalenia,20%,remove_fill,NB,1,2,202,0.7126
zapalenia,20%,remove_fill,XGBoost,1,1,101,0.8823
zapalenia,20%,remove_fill,XGBoost,1,2,202,0.8758
zapalenia,20%,fill_norm,RF,1,1,101,0.8853
zapalenia,20%,fill_norm,RF,1,2,202,0.899
zapalenia,20%,fill_norm,NB,1,1,101,0.6877
zapalenia,20%,fill_norm,NB,1,2,202,0.7044
zapalenia,20%,fill_norm,XGBoost,1,1,101,0.9047
zapalenia,20%,fill_norm,XGBoost,1,2,202,0.8739
zapalenia,20%,all,RF,1,1,101,0.9014
zapalenia,20%,all,RF,1,2,202,0.8987
zapalenia,20%,all,NB,1,1,101,0.7053
zapalenia,20%,all,NB,1,2,202,0.7125
zapalenia,20%,all,XGBoost,1,1,101,0.8823
zapalenia,20%,all,XGBoost,1,2,202,0.8758
zapalenia,20%,raw,RF,2,1,101,0.8728
zapalenia,20%,raw,RF,2,2,202,0.8672
zapalenia,20%,raw,NB,2,1,101,0.6278
zapalenia,20%,raw,NB,2,2,202,0.6304
zapalenia,20%,raw,XGBoost,2,1,101,0.8857
zapalenia,20%,raw,XGBoost,2,2,202,0.8814
zapalenia,20%,fill,RF,2,1,101,0.8718
zapalenia,20%,fill,RF,2,2,202,0.8579
zapalenia,20%,fill,NB,2,1,101,0.6855
zapalenia,20%,fill,NB,2,2,202,0.6979
zapalenia,20%,fill,XGBoost,2,1,101,0.8526
zapalenia,20%,fill,XGBoost,2,2,202,0.8257
zapalenia,20%,remove_fill,RF,2,1,101,0.8777
zapalenia,20%,remove_fill,RF,2,2,202,0.8832
zapalenia,20%,remove_fill,NB,2,1,101,0.7288
zapalenia,20%,remove_fill,NB,2,2,202,0.7191
zapalenia,20%,remove_fill,XGBoost,2,1,101,0.8705
zapalenia,20%,remove_fill,XGBoost,2,2,202,0.8453
zapalenia,20%,fill_norm,RF,2,1,101,0.8718
zapalenia,20%,fill_norm,RF,2,2,202,0.8586
zapalenia,20%,fill_norm,NB,2,1,101,0.7094
zapalenia,20%,fill_norm,NB,2,2,202,0.7235
zapalenia,20%,fill_norm,XGBoost,2,1,101,0.8526
zapalenia,20%,fill_norm,XGBoost,2,2,202,0.8257
zapalenia,20%,all,RF,2,1,101,0.8777
zapalenia,20%,all,RF,2,2,202,0.8834
zapalenia,20%,all,NB,2,1,101,0.7281
zapalenia,20%,all,NB,2,2,202,0.7187
zapalenia,20%,all,XGBoost,2,1,101,0.8705
zapalenia,20%,all,XGBoost,2,2,202,0.8453
zapalenia,40%,raw,RF,1,1,101,0.7871
zapalenia,40%,raw,RF,1,2,202,0.7941
zapalenia,40%,raw,NB,1,1,101,0.5997
zapalenia,40%,raw,NB,1,2,202,0.6296
zapalenia,40%,raw,XGBoost,1,1,101,0.7978
zapalenia,40%,raw,XGBoost,1,2,202,0.8361
zapalenia,40%,fill,RF,1,1,101,0.8687
zapalenia,40%,fill,RF,1,2,202,0.8632
zapalenia,40%,fill,NB,1,1,101,0.7038
zapalenia,40%,fill,NB,1,2,202,0.6829
zapalenia,40%,fill,XGBoost,1,1,101,0.8366
zapalenia,40%,fill,XGBoost,1,2,202,0.8631
zapalenia,40%,remove_fill,RF,1,1,101,0.8466
zapalenia,40%,remove_fill,RF,1,2,202,0.843
zapalenia,40%,remove_fill,NB,1,1,101,0.5967
zapalenia,40%,remove_fill,NB,1,2,202,0.5536
zapalenia,40%,remove_fill,XGBoost,1,1,101,0.8093
zapalenia,40%,remove_fill,XGBoost,1,2,202,0.8526
zapalenia,40%,fill_norm,RF,1,1,101,0.8687
zapalenia,40%,fill_norm,RF,1,2,202,0.8628
zapalenia,40%,fill_norm,NB,1,1,101,0.712
zapalenia,40%,fill_norm,NB,1,2,202,0.7175
zapalenia,40%,fill_norm,XGBoost,1,1,101,0.8366
zapalenia,40%,fill_norm,XGBoost,1,2,202,0.8631
zapalenia,40%,all,RF,1,1,101,0.8465
zapalenia,40%,all,RF,1,2,202,0.8434
zapalenia,40%,all,NB,1,1,101,0.6327
zapalenia,40%,all,NB,1,2,202,0.6193
zapalenia,40%,all,XGBoost,1,1,101,0.8093
zapalenia,40%,all,XGBoost,1,2,202,0.8526
zapalenia,40%,raw,RF,2,1,101,0.7493
zapalenia,40%,raw,RF,2,2,202,0.7715
zapalenia,40%,raw,NB,2,1,101,0.5647
zapalenia,40%,raw,NB,2,2,202,0.6008
zapalenia,40%,raw,XGBoost,2,1,101,0.7536
zapalenia,40%,raw,XGBoost,2,2,202,0.7601
zapalenia,40%,fill,RF,2,1,101,0.8222
zapalenia,40%,fill,RF,2,2,202,0.7978
zapalenia,40%,fill,NB,2,1,101,0.5802
zapalenia,40%,fill,NB,2,2,202,0.5974
zapalenia,40%,fill,XGBoost,2,1,101,0.8126
zapalenia,40%,fill,XGBoost,2,2,202,0.7983
zapalenia,40%,remove_fill,RF,2,1,101,0.8288
zapalenia,40%,remove_fill,RF,2,2,202,0.8088
zapalenia,40%,remove_fill,NB,2,1,101,0.559
zapalenia,40%,remove_fill,NB,2,2,202,0.5651
zapalenia,40%,remove_fill,XGBoost,2,1,101,0.8297
zapalenia,40%,remove_fill,XGBoost,2,2,202,0.8294
zapalenia,40%,fill_norm,RF,2,1,101,0.8211
zapalenia,40%,fill_norm,RF,2,2,202,0.797
zapalenia,40%,fill_norm,NB,2,1,101,0.6332
zapalenia,40%,fill_norm,NB,2,2,202,0.6451
zapalenia,40%,fill_norm,XGBoost,2,1,101,0.8126
zapalenia,40%,fill_norm,XGBoost,2,2,202,0.7983
zapalenia,40%,all,RF,2,1,101,0.8292
zapalenia,40%,all,RF,2,2,202,0.8089
zapalenia,40%,all,NB,2,1,101,0.5958
zapalenia,40%,all,NB,2,2,202,0.6265
zapalenia,40%,all,XGBoost,2,1,101,0.8297
zapalenia,40%,all,XGBoost,2,2,202,0.8294
zapalenia,60%,raw,RF,1,1,101,0.5917
zapalenia,60%,raw,RF,1,2,202,0.5704
zapalenia,60%,raw,NB,1,1,101,0.5334
zapalenia,60%,raw,NB,1,2,202,0.4853
zapalenia,60%,raw,XGBoost,1,1,101,0.6189
zapalenia,60%,raw,XGBoost,1,2,202,0.5584
zapalenia,60%,fill,RF,1,1,101,0.8004
zapalenia,60%,fill,RF,1,2,202,0.7882
zapalenia,60%,fill,NB,1,1,101,0.5221
zapalenia,60%,fill,NB,1,2,202,0.5176
zapalenia,60%,fill,XGBoost,1,1,101,0.7544
zapalenia,60%,fill,XGBoost,1,2,202,0.6932
zapalenia,60%,remove_fill,RF,1,1,101,0.7868
zapalenia,60%,remove_fill,RF,1,2,202,0.7632
zapalenia,60%,remove_fill,NB,1,1,101,0.5283
zapalenia,60%,remove_fill,NB,1,2,202,0.5213
zapalenia,60%,remove_fill,XGBoost,1,1,101,0.7547
zapalenia,60%,remove_fill,XGBoost,1,2,202,0.725
zapalenia,60%,fill_norm,RF,1,1,101,0.7987
zapalenia,60%,fill_norm,RF,1,2,202,0.7877
zapalenia,60%,fill_norm,NB,1,1,101,0.5939
zapalenia,60%,fill_norm,NB,1,2,202,0.5427
zapalenia,60%,fill_norm,XGBoost,1,1,101,0.7544
zapalenia,60%,fill_norm,XGBoost,1,2,202,0.6932
zapalenia,60%,all,RF,1,1,101,0.7866
zapalenia,60%,all,RF,1,2,202,0.7608
zapalenia,60%,all,NB,1,1,101,0.5803
zapalenia,60%,all,NB,1,2,202,0.5293
zapalenia,60%,all,XGBoost,1,1,101,0.7547
zapalenia,60%,all,XGBoost,1,2,202,0.725
zapalenia,60%,raw,RF,2,1,101,0.5939
zapalenia,60%,raw,RF,2,2,202,0.5781
zapalenia,60%,raw,NB,2,1,101,0.4976
zapalenia,60%,raw,NB,2,2,202,0.5148
zapalenia,60%,raw,XGBoost,2,1,101,0.6463
zapalenia,60%,raw,XGBoost,2,2,202,0.6756
zapalenia,60%,fill,RF,2,1,101,0.7955
zapalenia,60%,fill,RF,2,2,202,0.8153
zapalenia,60%,fill,NB,2,1,101,0.5433
zapalenia,60%,fill,NB,2,2,202,0.5552
zapalenia,60%,fill,XGBoost,2,1,101,0.7201
zapalenia,60%,fill,XGBoost,2,2,202,0.7558
zapalenia,60%,remove_fill,RF,2,1,101,0.8019
zapalenia,60%,remove_fill,RF,2,2,202,0.8098
zapalenia,60%,remove_fill,NB,2,1,101,0.5714
zapalenia,60%,remove_fill,NB,2,2,202,0.5946
zapalenia,60%,remove_fill,XGBoost,2,1,101,0.7259
zapalenia,60%,remove_fill,XGBoost,2,2,202,0.7638
zapalenia,60%,fill_norm,RF,2,1,101,0.7956
zapalenia,60%,fill_norm,RF,2,2,202,0.8155
zapalenia,60%,fill_norm,NB,2,1,101,0.5506
zapalenia,60%,fill_norm,NB,2,2,202,0.529
zapalenia,60%,fill_norm,XGBoost,2,1,101,0.7201
zapalenia,60%,fill_norm,XGBoost,2,2,202,0.7558
zapalenia,60%,all,RF,2,1,101,0.8015
zapalenia,60%,all,RF,2,2,202,0.81
zapalenia,60%,all,NB,2,1,101,0.5497
zapalenia,60%,all,NB,2,2,202,0.5691
zapalenia,60%,all,XGBoost,2,1,101,0.7259
zapalenia,60%,all,XGBoost,2,2,202,0.7638
diabetes,ORYGINALNY,raw,RF,0,1,101,0.8292
diabetes,ORYGINALNY,raw,RF,0,2,202,0.825
diabetes,ORYGINALNY,raw,NB,0,1,101,0.8092
diabetes,ORYGINALNY,raw,NB,0,2,202,0.8132
diabetes,ORYGINALNY,raw,XGBoost,0,1,101,0.8145
diabetes,ORYGINALNY,raw,XGBoost,0,2,202,0.8157
diabetes,20%,raw,RF,1,1,101,0.7315
diabetes,20%,raw,RF,1,2,202,0.7168
diabetes,20%,raw,NB,1,1,101,0.5018
diabetes,20%,raw,NB,1,2,202,0.483
diabetes,20%,raw,XGBoost,1,1,101,0.7371
diabetes,20%,raw,XGBoost,1,2,202,0.7222
diabetes,20%,fill,RF,1,1,101,0.7419
diabetes,20%,fill,RF,1,2,202,0.7322
diabetes,20%,fill,NB,1,1,101,0.5136
diabetes,20%,fill,NB,1,2,202,0.5129
diabetes,20%,fill,XGBoost,1,1,101,0.7359
diabetes,20%,fill,XGBoost,1,2,202,0.7285
diabetes,20%,remove_fill,RF,1,1,101,0.7709
diabetes,20%,remove_fill,RF,1,2,202,0.7675
diabetes,20%,remove_fill,NB,1,1,101,0.7341
diabetes,20%,remove_fill,NB,1,2,202,0.7415
diabetes,20%,remove_fill,XGBoost,1,1,101,0.7702
diabetes,20%,remove_fill,XGBoost,1,2,202,0.7673
diabetes,20%,fill_norm,RF,1,1,101,0.7424
diabetes,20%,fill_norm,RF,1,2,202,0.7314
diabetes,20%,fill_norm,NB,1,1,101,0.5137
diabetes,20%,fill_norm,NB,1,2,202,0.5129
diabetes,20%,fill_norm,XGBoost,1,1,101,0.7359
diabetes,20%,fill_norm,XGBoost,1,2,202,0.7285
diabetes,20%,all,RF,1,1,101,0.7722
diabetes,20%,all,RF,1,2,202,0.7686
diabetes,20%,all,NB,1,1,101,0.7341
diabetes,20%,all,NB,1,2,202,0.7414
diabetes,20%,all,XGBoost,1,1,101,0.7702
diabetes,20%,all,XGBoost,1,2,202,0.7673
diabetes,20%,raw,RF,2,1,101,0.7138
diabetes,20%,raw,RF,2,2,202,0.7022
diabetes,20%,raw,NB,2,1,101,0.4677
diabetes,20%,raw,NB,2,2,202,0.4697
diabetes,20%,raw,XGBoost,2,1,101,0.7237
diabetes,20%,raw,XGBoost,2,2,202,0.7025
diabetes,20%,fill,RF,2,1,101,0.7192
diabetes,20%,fill,RF,2,2,202,0.714
diabetes,20%,fill,NB,2,1,101,0.5303
diabetes,20%,fill,NB,2,2,202,0.5101
diabetes,20%,fill,XGBoost,2,1,101,0.7269
diabetes,20%,fill,XGBoost,2,2,202,0.7135
diabetes,20%,remove_fill,RF,2,1,101,0.743
diabetes,20%,remove_fill,RF,2,2,202,0.7553
diabetes,20%,remove_fill,NB,2,1,101,0.7347
diabetes,20%,remove_fill,NB,2,2,202,0.7355
diabetes,20%,remove_fill,XGBoost,2,1,101,0.7451
diabetes,20%,remove_fill,XGBoost,2,2,202,0.7421
diabetes,20%,fill_norm,RF,2,1,101,0.7179
diabetes,20%,fill_norm,RF,2,2,202,0.7139
diabetes,20%,fill_norm,NB,2,1,101,0.5303
diabetes,20%,fill_norm,NB,2,2,202,0.5101
diabetes,20%,fill_norm,XGBoost,2,1,101,0.7269
diabetes,20%,fill_norm,XGBoost,2,2,202,0.7135
diabetes,20%,all,RF,2,1,101,0.7429
diabetes,20%,all,RF,2,2,202,0.7557
diabetes,20%,all,NB,2,1,101,0.7347
diabetes,20%,all,NB,2,2,202,0.7355
diabetes,20%,all,XGBoost,2,1,101,0.7451
diabetes,20%,all,XGBoost,2,2,202,0.7421
diabetes,40%,raw,RF,1,1,101,0.6265
diabetes,40%,raw,RF,1,2,202,0.6403
diabetes,40%,raw,NB,1,1,101,0.5057
diabetes,40%,raw,NB,1,2,202,0.5441
diabetes,40%,raw,XGBoost,1,1,101,0.6362
diabetes,40%,raw,XGBoost,1,2,202,0.6553
diabetes,40%,fill,RF,1,1,101,0.6664
diabetes,40%,fill,RF,1,2,202,0.6812
diabetes,40%,fill,NB,1,1,101,0.5385
diabetes,40%,fill,NB,1,2,202,0.5778
diabetes,40%,fill,XGBoost,1,1,101,0.685
diabetes,40%,fill,XGBoost,1,2,202,0.6944
diabetes,40%,remove_fill,RF,1,1,101,0.6641
diabetes,40%,remove_fill,RF,1,2,202,0.6501
diabetes,40%,remove_fill,NB,1,1,101,0.5008
diabetes,40%,remove_fill,NB,1,2,202,0.5337
diabetes,40%,remove_fill,XGBoost,1,1,101,0.6839
diabetes,40%,remove_fill,XGBoost,1,2,202,0.6881
diabetes,40%,fill_norm,RF,1,1,101,0.665
diabetes,40%,fill_norm,RF,1,2,202,0.6824
diabetes,40%,fill_norm,NB,1,1,101,0.5384
diabetes,40%,fill_norm,NB,1,2,202,0.5779
diabetes,40%,fill_norm,XGBoost,1,1,101,0.685
diabetes,40%,fill_norm,XGBoost,1,2,202,0.6944
diabetes,40%,all,RF,1,1,101,0.6639
diabetes,40%,all,RF,1,2,202,0.6505
diabetes,40%,all,NB,1,1,101,0.5008
diabetes,40%,all,NB,1,2,202,0.5337
diabetes,40%,all,XGBoost,1,1,101,0.6839
diabetes,40%,all,XGBoost,1,2,202,0.6881
diabetes,40%,raw,RF,2,1,101,0.7058
diabetes,40%,raw,RF,2,2,202,0.7139
diabetes,40%,raw,NB,2,1,101,0.565
diabetes,40%,raw,NB,2,2,202,0.5497
diabetes,40%,raw,XGBoost,2,1,101,0.6985
diabetes,40%,raw,XGBoost,2,2,202,0.7196
diabetes,40%,fill,RF,2,1,101,0.7219
diabetes,40%,fill,RF,2,2,202,0.6943
diabetes,40%,fill,NB,2,1,101,0.5586
diabetes,40%,fill,NB,2,2,202,0.5389
diabetes,40%,fill,XGBoost,2,1,101,0.7187
diabetes,40%,fill,XGBoost,2,2,202,0.7066
diabetes,40%,remove_fill,RF,2,1,101,0.7149
diabetes,40%,remove_fill,RF,2,2,202,0.6993
diabetes,40%,remove_fill,NB,2,1,101,0.5555
diabetes,40%,remove_fill,NB,2,2,202,0.5374
diabetes,40%,remove_fill,XGBoost,2,1,101,0.737
diabetes,40%,remove_fill,XGBoost,2,2,202,0.7303
diabetes,40%,fill_norm,RF,2,1,101,0.7226
diabetes,40%,fill_norm,RF,2,2,202,0.695
diabetes,40%,fill_norm,NB,2,1,101,0.5585
diabetes,40%,fill_norm,NB,2,2,202,0.5389
diabetes,40%,fill_norm,XGBoost,2,1,101,0.7187
diabetes,40%,fill_norm,XGBoost,2,2,202,0.7066
diabetes,40%,all,RF,2,1,101,0.7145
diabetes,40%,all,RF,2,2,202,0.6988
diabetes,40%,all,NB,2,1,101,0.5555
diabetes,40%,all,NB,2,2,202,0.5375
diabetes,40%,all,XGBoost,2,1,101,0.737
diabetes,40%,all,XGBoost,2,2,202,0.7303
diabetes,60%,raw,RF,1,1,101,0.582
diabetes,60%,raw,RF,1,2,202,0.5464
diabetes,60%,raw,NB,1,1,101,0.5168
diabetes,60%,raw,NB,1,2,202,0.4505
diabetes,60%,raw,XGBoost,1,1,101,0.6071
diabetes,60%,raw,XGBoost,1,2,202,0.5805
diabetes,60%,fill,RF,1,1,101,0.647
diabetes,60%,fill,RF,1,2,202,0.6092
diabetes,60%,fill,NB,1,1,101,0.5145
diabetes,60%,fill,NB,1,2,202,0.4456
diabetes,60%,fill,XGBoost,1,1,101,0.6572
diabetes,60%,fill,XGBoost,1,2,202,0.6211
diabetes,60%,remove_fill,RF,1,1,101,0.652
diabetes,60%,remove_fill,RF,1,2,202,0.6015
diabetes,60%,remove_fill,NB,1,1,101,0.5245
diabetes,60%,remove_fill,NB,1,2,202,0.4738
diabetes,60%,remove_fill,XGBoost,1,1,101,0.6502
diabetes,60%,remove_fill,XGBoost,1,2,202,0.6294
diabetes,60%,fill_norm,RF,1,1,101,0.6467
diabetes,60%,fill_norm,RF,1,2,202,0.6088
diabetes,60%,fill_norm,NB,1,1,101,0.5146
diabetes,60%,fill_norm,NB,1,2,202,0.4456
diabetes,60%,fill_norm,XGBoost,1,1,101,0.6572
diabetes,60%,fill_norm,XGBoost,1,2,202,0.6211
diabetes,60%,all,RF,1,1,101,0.6503
diabetes,60%,all,RF,1,2,202,0.6022
diabetes,60%,all,NB,1,1,101,0.5245
diabetes,60%,all,NB,1,2,202,0.4738
diabetes,60%,all,XGBoost,1,1,101,0.6502
diabetes,60%,all,XGBoost,1,2,202,0.6294
diabetes,60%,raw,RF,2,1,101,0.6399
diabetes,60%,raw,RF,2,2,202,0.648
diabetes,60%,raw,NB,2,1,101,0.5292
diabetes,60%,raw,NB,2,2,202,0.5481
diabetes,60%,raw,XGBoost,2,1,101,0.6456
diabetes,60%,raw,XGBoost,2,2,202,0.6427
diabetes,60%,fill,RF,2,1,101,0.627
diabetes,60%,fill,RF,2,2,202,0.6206
diabetes,60%,fill,NB,2,1,101,0.5438
diabetes,60%,fill,NB,2,2,202,0.5679
diabetes,60%,fill,XGBoost,2,1,101,0.6296
diabetes,60%,fill,XGBoost,2,2,202,0.6348
diabetes,60%,remove_fill,RF,2,1,101,0.6062
diabetes,60%,remove_fill,RF,2,2,202,0.5949
diabetes,60%,remove_fill,NB,2,1,101,0.5774
diabetes,60%,remove_fill,NB,2,2,202,0.5691
diabetes,60%,remove_fill,XGBoost,2,1,101,0.6165
diabetes,60%,remove_fill,XGBoost,2,2,202,0.6109
diabetes,60%,fill_norm,RF,2,1,101,0.6263
diabetes,60%,fill_norm,RF,2,2,202,0.6193
diabetes,60%,fill_norm,NB,2,1,101,0.5439
diabetes,60%,fill_norm,NB,2,2,202,0.5678
diabetes,60%,fill_norm,XGBoost,2,1,101,0.6296
